lane,band_number,position_y,intensity,area,molecular_weight_kDa,normalized_area
1,1,68,129.95070847171846,2858.915586377806,250,0.250305147524085
1,2,99,129.71401271102744,2853.7082796426034,250,0.24984923490925703
1,3,123,129.52274408015535,2849.5003697634174,250,0.24948082196691754
1,4,155,129.98167591192916,2859.5968700624417,250,0.25036479559974034
2,1,31,120.86744977489897,2659.0838950477773,250,0.10308890989013213
2,2,40,119.97210808317703,2639.3863778298946,250,0.10232526509452587
2,3,57,118.68061423027672,2610.973513066088,250,0.10122373863994066
2,4,74,114.65688698320574,2522.4515136305263,250,0.09779186631725753
2,5,78,115.28374671873311,2536.2424278121284,250,0.09832652049346365
2,6,93,121.86408148068581,2681.009792575088,250,0.10393894582869831
2,7,102,120.93444385932636,2660.55776490518,250,0.10314604973337006
2,8,120,93.95804417734337,2067.0769719015543,250,0.0801376414219897
2,9,142,123.00448573803662,2706.098686236806,250,0.10491160663972153
2,10,162,123.23645579668533,2711.2020275270775,250,0.10510945594090047
3,1,31,115.54808764714247,2542.057928237134,250,0.1589764477725613
3,2,56,83.80202956384593,1843.6446504046105,250,0.11529874052849252
3,3,67,66.74717662479821,1468.4378857455608,250,0.09183387847198678
3,4,78,51.01526815205586,1122.3358993452289,250,0.07018918511005826
3,5,102,87.79579519710329,1931.5074943362724,250,0.12079354954298936
3,6,141,109.21580377944258,2402.747683147737,250,0.15026419631022117
3,7,149,107.8228384585616,2372.1024460883555,250,0.14834768965837353
3,8,158,104.87819554209688,2307.3203019261314,250,0.144296312605317
4,1,32,114.74359600533606,2524.359112117393,250,0.14382890078228777
4,2,48,76.24548255933134,1677.4006163052893,250,0.09557225263895111
4,3,56,80.0005873408958,1760.0129214997078,250,0.10027920458971283
4,4,67,66.91288701505988,1472.0835143313175,250,0.08387402280034803
4,5,79,50.28425962382248,1106.2537117240945,250,0.06303035672691684
4,6,102,87.18033434620666,1917.9673556165467,250,0.10927888000184442
4,7,141,109.74755032104808,2414.4461070630578,250,0.13756645316825436
4,8,149,106.96044433090992,2353.1297752800183,250,0.1340728691698353
4,9,158,105.70329784783026,2325.4725526522657,250,0.13249706012184922
5,1,31,117.6810765435047,2588.9836839571035,250,0.12180890266724016
5,2,48,88.47491438292997,1946.4481164244594,250,0.09157829407329254
5,3,56,90.43712438039708,1989.6167363687357,250,0.0936093312936718
5,4,68,81.44623936442702,1791.8172660173943,250,0.08430307858108907
5,5,79,66.07092537952292,1453.5603583495042,250,0.06838845424492336
5,6,103,98.15450468044818,2159.39910296986,250,0.10159740935537684
5,7,110,79.86665780163739,1757.0664716360225,250,0.0826680910156441
5,8,142,115.92382614941558,2550.3241752871427,250,0.11999001429110909
5,9,149,114.50413598115377,2519.0909915853827,250,0.11852052653145632
5,10,158,113.55287421479983,2498.163232725596,250,0.11753589794619658
6,1,32,117.23425061505706,2579.1535135312556,250,0.13394220600542
6,2,48,87.39385429246734,1922.6647944342815,250,0.09984902512564776
6,3,56,89.23586321272813,1963.1889906800188,250,0.10195355291481337
6,4,67,79.14343553546178,1741.155581780159,250,0.09042277568929158
6,5,79,61.888027134552914,1361.5365969601642,250,0.07070816622476582
6,6,102,97.01391007874938,2134.3060217324864,250,0.11084010910622236
6,7,141,115.64119039855163,2544.106188768136,250,0.1321221065159044
6,8,150,114.80670991737847,2525.7476181823263,250,0.13116869779848267
6,9,157,112.90272437298307,2483.8599362056275,250,0.12899336061945185
7,1,31,118.7971835783637,2613.5380387240016,250,0.12393044861191932
7,2,47,87.94268376646582,1934.739042862248,250,0.09174271580373759
7,3,55,89.61042968151409,1971.42945299331,250,0.09348252556350593
7,4,67,79.72410039911766,1753.9302087805886,250,0.08316900476960312
7,5,78,62.225781616959495,1368.967195573109,250,0.06491457792793687
7,6,102,96.6267160200023,2125.7877524400506,250,0.10080198792218167
7,7,109,79.13024636667916,1740.8654200669416,250,0.08254949011081028
7,8,140,116.75651242606538,2568.6432733734387,250,0.12180159939381553
7,9,149,114.48531460858524,2518.676921388875,250,0.1194322623781694
7,10,158,113.28050017328809,2492.171003812338,250,0.11817538751832056
8,1,31,121.28979225550992,2668.3754296212182,250,0.11759224789238837
8,2,47,97.45431282589041,2143.994882169589,250,0.09448339797518181
8,3,55,98.36079049253371,2163.9373908357416,250,0.09536224148297082
8,4,67,89.7899001457531,1975.3778032065682,250,0.0870526364982915
8,5,78,74.87517503153845,1647.2538506938458,250,0.07259258985905846
8,6,101,104.0033911313765,2288.074604890283,250,0.1008328262761475
8,7,109,89.6092380207377,1971.4032364562295,250,0.08687748189546374
8,8,140,119.4791219623392,2628.5406831714627,250,0.11583677625700643
8,9,149,118.87742014296329,2615.3032431451925,250,0.11525341744184497
8,10,157,117.7046345105826,2589.501959232817,250,0.11411638442164639
9,1,47,97.46867642680269,2144.3108813896592,250,0.10606312303625569
9,2,55,99.3110810226773,2184.8437824989005,250,0.10806798441837943
9,3,66,90.95756466342395,2001.066422595327,250,0.09897788423565834
9,4,77,76.28916719542849,1678.3616782994268,250,0.08301607883901826
9,5,101,104.13720271432226,2291.0184597150896,250,0.11331965662255972
9,6,109,90.97944572783551,2001.5478060123812,250,0.09900169469571511
9,7,140,121.05226690056062,2663.149871812334,250,0.13172623194215455
9,8,150,119.83174873535535,2636.2984721778175,250,0.13039809275867678
9,9,156,118.94141586348155,2616.711148996594,250,0.12942925345158218
10,1,30,121.92827681002177,2682.422089820479,250,0.10273605303816924
10,2,46,99.28840963871585,2184.3450120517487,250,0.08365983335114408
10,3,54,100.31098602917545,2206.84169264186,250,0.08452145023800885
10,4,66,93.58797104061978,2058.935362893635,250,0.07885667712293526
10,5,77,78.77337720861334,1733.0142985894936,250,0.06637398699162644
10,6,101,104.0778685381181,2289.7131078385983,250,0.08769540341238419
10,7,108,91.28992758170264,2008.3784067974582,250,0.07692035914275755
10,8,140,121.13643714105143,2665.0016171031316,250,0.10206885356354847
10,9,149,120.02973708450125,2640.6542158590273,250,0.10113635456756709
10,10,158,119.96144875266566,2639.1518725586448,250,0.10107881521849321
10,11,187,136.4265501271159,3001.3841027965495,250,0.11495221335336553
11,1,30,119.36304625692595,2625.987017652371,250,0.09056027447013716
11,2,39,117.24890445258077,2579.475897956777,250,0.08895628338517286
11,3,56,120.01807314018498,2640.3976090840697,250,0.09105724079425033
11,4,72,115.2812097658643,2536.186614849015,250,0.08746340115327242
11,5,76,115.38624856566639,2538.4974684446606,250,0.08754309367820695
11,6,92,121.80585613764018,2679.7288350280837,250,0.0924136247340008
11,7,101,122.65119860159541,2698.3263692350993,250,0.09305498274184074
11,8,119,96.58140657839206,2124.790944724625,250,0.07327593390691962
11,9,140,126.75893237621125,2788.6965122766474,250,0.09617150422604237
11,10,162,127.82923802743157,2812.2432366034946,250,0.0969835409206557
11,11,186,135.12673074558413,2972.788076402851,250,0.1025201199895011
12,1,35,129.35014733863233,2845.7032414499113,250,0.16502778897720058
12,2,61,130.08481611190277,2861.865954461861,250,0.1659650957045444
12,3,81,129.18675270550244,2842.108559521054,250,0.16481932647761352
12,4,108,129.89757996060985,2857.7467591334166,250,0.16572621566690843
12,5,152,130.3599746448008,2867.9194421856173,250,0.16631614906812112
12,6,185,134.92900868234105,2968.438191011503,250,0.17214542410561187
