lane,band_number,position_y,intensity,area,normalized_area
1,1,17,235.6623213502129,3704.1436441826186,0.14466290061505338
1,2,43,226.45441425234975,3560.495851104046,0.13905283026955442
1,3,71,234.97120322383256,3744.746026394155,0.14624860002274953
1,4,95,228.44606173021907,3609.908008067515,0.1409825896521874
1,5,115,232.58947909929205,3687.8286538770685,0.14402572936905864
1,6,133,232.60987034508375,3684.6310866169774,0.1439008504768799
1,7,170,229.8882351246501,3613.59287195416,0.1411264995945167
2,1,21,251.28238363052134,3942.421153665554,0.16999613174641368
2,2,77,248.05964533527793,3940.2340949095287,0.16990182636554874
2,3,112,250.62056845210296,3934.0030582140535,0.16963314575185634
2,4,136,247.5427383632089,3874.615233487085,0.16707235884378285
2,5,154,238.70266449954914,3690.031456661629,0.15911315640943718
2,6,174,243.5662491047954,3809.9353752050597,0.16428338088296116
3,1,19,249.6534462799719,3866.784283012018,0.16637194101232278
3,2,42,246.69539804140587,3852.7344544752855,0.16576743425077006
3,3,78,245.70171695776156,3907.762526765771,0.1681350675416562
3,4,111,250.8145164079453,3962.1592810803013,0.1704755377974806
3,5,134,243.15048643992063,3794.653454172583,0.16326844593152232
3,6,168,244.44127019416385,3857.711436457632,0.16598157346624795
4,1,19,250.09530036793606,3859.9499809802337,0.14383039468613978
4,2,43,245.01174184508326,3826.146201546128,0.1425707900379324
4,3,78,245.94331475131727,3911.3569482713474,0.14574593360025304
4,4,112,250.46369330985763,3933.274805788452,0.14656264213608727
4,5,134,241.8517875928506,3790.781172037534,0.14125300970985252
4,6,155,243.33996003441743,3773.4753866341853,0.1406081573264843
4,7,177,242.122306471438,3741.8325030076326,0.13942907250325068
5,1,20,250.9698666593098,3902.451953741442,0.14400829414897928
5,2,44,245.3527198068692,3830.6605604924325,0.14135904793175005
5,3,77,247.64441829717717,3923.199175757458,0.14477390820041997
5,4,96,247.0384135176478,3854.0127147875423,0.14222078920226547
5,5,113,248.0903624116046,3865.899988021035,0.14265945339614408
5,6,134,247.65190953121194,3825.710203959425,0.14117636985955387
5,7,168,249.24411221387115,3896.865349473498,0.14380213726088725
6,1,21,251.18457713076225,3944.7569034401554,0.14675780511754405
6,2,48,246.02307644490904,3870.021609485503,0.14397740876510107
6,3,78,247.50246238109858,3922.8711078698957,0.145943582238983
6,4,114,248.49256514412116,3857.125960721135,0.14349764862916595
6,5,134,242.25329828064542,3812.1809260917926,0.14182554695228392
6,6,155,240.92843442077407,3745.3419734836784,0.139338920216789
6,7,177,240.8857736232142,3727.068515986091,0.1386590880801329
7,1,21,250.69725152354926,3942.8437403072394,0.14636694891238292
7,2,49,247.13130998363306,3877.5735334454766,0.14394397664605316
7,3,78,247.67625683453014,3928.707931454349,0.14584219689366737
7,4,99,244.79458408008801,3808.0783512844264,0.14136416409273334
7,5,114,245.19492279511195,3792.002764065002,0.1407674032753496
7,6,133,243.99471714013646,3820.3314954035777,0.14181902749524902
7,7,155,242.99160829116386,3768.536452893308,0.13989628268456458
8,1,19,249.1536647968157,3869.2767625424403,0.19749245183496308
8,2,54,247.79129244950113,3928.082307179945,0.20049395622575267
8,3,82,251.61073255277952,4020.8621448080708,0.20522954862157505
8,4,130,245.08228536262993,3861.9574905930176,0.19711886755768113
8,5,169,248.54757572533296,3911.8448207976435,0.19966517576002799
9,1,84,244.112176234887,3903.8246263868655,0.5052665726137786
9,2,166,239.72925664774237,3822.44273025245,0.4947334273862215
