Lane,kDa,Intensity,Relative Quantity,Calculated Concentration (ng)
0,10.0,3113.0,311.3,311.079
0,10.87,2760.0,276.0,275.804
0,12.45,4233.0,423.3,423.0
0,16.94,10100.0,1010.0,1009.284
0,44.22,4789.0,478.9,478.561
0,70.53,9633.0,963.3,962.617
0,131.57,9357.0,935.7,935.037
0,174.19,2153.0,215.3,215.147
0,200.0,2061.0,206.1,205.954
1,10.0,1798.0,179.8,179.673
1,12.84,3648.0,364.8,364.541
1,16.48,3967.0,396.7,396.419
1,21.15,5155.0,515.5,515.135
1,27.14,2879.0,287.9,287.696
1,34.84,5557.0,555.7,555.306
1,44.72,9774.0,977.4,976.707
1,57.4,5714.0,571.4,570.995
1,73.68,4008.0,400.8,400.516
1,94.57,2880.0,288.0,287.796
1,121.39,3644.0,364.4,364.142
1,155.82,8684.0,868.4,867.785
1,200.0,1486.0,148.6,148.495
2,10.0,1752.0,175.2,175.076
2,12.8,3645.0,364.5,364.242
2,16.48,4126.0,412.6,412.308
2,20.76,5383.0,538.3,537.918
2,26.82,3018.0,301.8,301.586
2,34.57,6126.0,612.6,612.166
2,43.22,10105.0,1010.5,1009.784
2,56.72,6146.0,614.6,614.164
2,72.77,4525.0,452.5,452.179
2,93.01,3118.0,311.8,311.579
2,120.48,4209.0,420.9,420.602
2,153.33,9838.0,983.8,983.103
2,168.83,2397.0,239.7,239.53
2,200.0,1552.0,155.2,155.09
3,12.79,2408.0,240.8,240.629
3,16.11,2655.0,265.5,265.312
3,20.38,3429.0,342.9,342.657
3,34.04,3971.0,397.1,396.819
3,43.22,9790.0,979.0,978.306
3,56.05,3967.0,396.7,396.419
3,71.86,3187.0,318.7,318.474
3,91.48,2409.0,240.9,240.729
3,119.57,2948.0,294.8,294.591
3,153.33,8372.0,837.2,836.607
3,169.59,1973.0,197.3,197.16
4,12.84,2513.0,251.3,251.122
4,16.63,2817.0,281.7,281.5
4,20.95,3565.0,356.5,356.247
4,26.98,2341.0,234.1,233.934
4,34.57,4212.0,421.2,420.901
4,43.72,10005.0,1000.5,999.791
4,56.72,4228.0,422.8,422.5
4,72.31,3346.0,334.6,334.363
4,92.24,2475.0,247.5,247.325
4,119.57,3186.0,318.6,318.374
4,154.57,8446.0,844.6,844.001
5,13.13,2496.0,249.6,249.423
5,16.94,2702.0,270.2,270.009
5,21.27,3583.0,358.3,358.046
5,35.24,4278.0,427.8,427.497
5,44.99,10024.0,1002.4,1001.69
5,57.4,4307.0,430.7,430.395
5,73.22,3329.0,332.9,332.664
5,93.79,2514.0,251.4,251.222
5,121.39,3097.0,309.7,309.481
5,155.82,7913.0,791.3,790.739
6,13.28,1913.0,191.3,191.164
6,17.26,2038.0,203.8,203.656
6,21.53,2764.0,276.4,276.204
6,36.05,3055.0,305.5,305.283
6,45.26,10044.0,1004.4,1003.688
6,58.12,3102.0,310.2,309.98
6,74.3,2504.0,250.4,250.223
6,94.57,2010.0,201.0,200.858
6,122.37,2517.0,251.7,251.522
6,157.91,5865.0,586.5,586.084
7,13.28,1948.0,194.8,194.662
7,17.26,2133.0,213.3,213.149
7,21.66,2736.0,273.6,273.406
7,36.05,3138.0,313.8,313.578
7,45.8,10116.0,1011.6,1010.883
7,58.49,3052.0,305.2,304.984
7,74.92,2588.0,258.8,258.617
7,95.29,1964.0,196.4,196.261
7,123.36,2495.0,249.5,249.323
7,158.62,6073.0,607.3,606.87
8,17.42,1988.0,198.8,198.659
8,21.66,2544.0,254.4,254.22
8,36.46,3060.0,306.0,305.783
8,46.07,9838.0,983.8,983.103
8,59.22,2928.0,292.8,292.592
8,76.17,2463.0,246.3,246.125
8,96.75,2011.0,201.1,200.957
8,125.37,2426.0,242.6,242.428
8,159.33,6134.0,613.4,612.965
9,10.0,2675.0,267.5,267.31
9,10.9,2465.0,246.5,246.325
9,12.55,3721.0,372.1,371.836
9,17.91,10076.0,1007.6,1006.886
9,46.35,4823.0,482.3,481.958
9,73.68,9507.0,950.7,950.026
9,140.33,9667.0,966.7,966.015
9,179.71,1964.0,196.4,196.261
9,200.0,1886.0,188.6,188.466
